source_part,source_csv,part,experiment_name,model_name,pretrained_model,mode,lr,rank,alpha,d_model,n_heads,num_layers,ff_dim,dropout,total_params,trainable_params,train_time_seconds,tokens_per_second,peak_memory_mb,dev_ppl,test_ppl,intent_acc_dev,slot_f1_dev,intent_acc_test,slot_f1_test,checkpoint_path,decision,notes,weight_tying,best_epoch,final_train_loss,best_dev_loss,train_dev_gap,overfitting_note,target_modules,trainable_percent,partA_best_ppl,improves_over_partA,semantic_frame_acc_test,batch_size,epochs,lambda_slot,lambda_intent
LM/partA,LM/partA/results/results_partA.csv,LM/partA,smoke_shapes_loss_ppl_checkpoint_csv,,,smoke,0.0005,,,64,2,1,256,0.1,3268608,3268608,0.464,532.367,0.0,47720.512764,48875.96532,,,,,results/20260625_140630_smoke_seed1/smoke_shapes_loss_ppl_checkpoint_csv/best.pt,accept,best dev PPL so far,True,1,10.821886,10.773117,-0.04877,none,,,,,,,,,
LM/partA,LM/partA/results/results_partA.csv,LM/partA,smoke_shapes_loss_ppl_checkpoint_csv,,,smoke,0.0005,,,64,2,1,256,0.1,3268608,3268608,0.313,788.17,0.0,47720.512764,48875.96532,,,,,results/20260625_140702_smoke_seed1/smoke_shapes_loss_ppl_checkpoint_csv/best.pt,accept,best dev PPL so far,True,1,10.821886,10.773117,-0.04877,none,,,,,,,,,
LM/partA,LM/partA/results/results_partA.csv,LM/partA,smoke_shapes_loss_ppl_checkpoint_csv,,,smoke,0.0005,,,64,2,1,256,0.1,3268608,3268608,0.357,691.469,0.0,47720.512764,48875.96532,,,,,results/20260625_145853_smoke_seed1/smoke_shapes_loss_ppl_checkpoint_csv/best.pt,accept,best dev PPL so far,True,1,10.821886,10.773117,-0.04877,none,,,,,,,,,
LM/partB,LM/partB/results/results_partB.csv,LM/partB,smoke_lora_qkv_r2_alpha4,,,smoke,0.0005,2,4,,,,,,124550400,110592,1.488,172.033,0.0,207.371476,365.313062,,,,,results/20260625_141858_smoke_seed1/smoke_lora_qkv_r2_alpha4/best_lora_adapters.pt,,manual LoRA on fused c_attn Q/K/V sections; step0_max_abs_diff=0; partA_best_test_ppl=48875.96532,,,,,,,qkv,0.088793,47720.512764,True,,,,,
LM/partB,LM/partB/results/results_partB.csv,LM/partB,smoke_lora_qkv_r2_alpha4,,,smoke,0.0005,2,4,,,,,,124550400,110592,1.416,180.741,0.0,207.371476,365.313062,,,,,results/20260625_142150_smoke_seed1/smoke_lora_qkv_r2_alpha4/best_lora_adapters.pt,,manual LoRA on fused c_attn Q/K/V sections; step0_max_abs_diff=0; partA_best_test_ppl=48875.96532,,,,,,,c_attn:qkv,0.088793,47720.512764,True,,,,,
LM/partB,LM/partB/results/results_partB.csv,LM/partB,smoke_lora_qkv_r2_alpha4,,,smoke,0.0005,2,4,,,,,,124550400,110592,0.0,0.0,0.0,207.371476,365.313062,,,,,results/20260625_142150_smoke_seed1/smoke_lora_qkv_r2_alpha4/best_lora_adapters.pt,,manual LoRA on fused c_attn Q/K/V sections; step0_max_abs_diff=0; partA_best_test_ppl=48875.96532,,,,,,,c_attn:qkv,0.088793,47720.512764,True,,,,,
LM/partB,LM/partB/results/results_partB.csv,LM/partB,smoke_lora_qkv_r2_alpha4,,,smoke,0.0005,2,4,,,,,,124550400,110592,1.293,198.023,0.0,207.371476,365.313062,,,,,results/20260625_145908_smoke_seed1/smoke_lora_qkv_r2_alpha4/best_lora_adapters.pt,,manual LoRA on fused c_attn Q/K/V sections; step0_max_abs_diff=0; partA_best_test_ppl=48875.96532,,,,,,,c_attn:qkv,0.088793,47720.512764,True,,,,,
NLU/partA,NLU/partA/results/results_partA.csv,NLU/partA,smoke_shapes_losses_metrics_checkpoint_csv,,,smoke,0.0005,,,64,2,1,256,0.1,116828,116828,0.09,,0.0,,,0.625,0.040404,0.875,0.014599,results/20260625_143137_smoke_seed1/smoke_shapes_losses_metrics_checkpoint_csv/best.pt,accept,best dev intent/slot combined score so far,,,,,,,,,,,0.0,,,,
NLU/partA,NLU/partA/results/results_partA.csv,NLU/partA,smoke_shapes_losses_metrics_checkpoint_csv,,,smoke,0.0005,,,64,2,1,256,0.1,116828,116828,0.0,,0.0,,,0.625,0.040404,0.875,0.014599,results/20260625_143137_smoke_seed1/smoke_shapes_losses_metrics_checkpoint_csv/best.pt,accept,best dev intent/slot combined score so far,,,,,,,,,,,0.0,,,,
NLU/partA,NLU/partA/results/results_partA.csv,NLU/partA,smoke_shapes_losses_metrics_checkpoint_csv,,,smoke,0.0005,,,64,2,1,256,0.1,116828,116828,0.083,,0.0,,,0.625,0.040404,0.875,0.014599,results/20260625_143221_smoke_seed1/smoke_shapes_losses_metrics_checkpoint_csv/best.pt,accept,best dev intent/slot combined score so far,,,,,,,,,,,0.0,,,,
NLU/partA,NLU/partA/results/results_partA.csv,NLU/partA,smoke_shapes_losses_metrics_checkpoint_csv,,,smoke,0.0005,,,64,2,1,256,0.1,116828,116828,0.076,,0.0,,,0.625,0.040404,0.875,0.014599,results/20260625_145925_smoke_seed1/smoke_shapes_losses_metrics_checkpoint_csv/best.pt,accept,best dev intent/slot combined score so far,,,,,,,,,,,0.0,,,,
NLU/partB,NLU/partB/results/results_partB.csv,NLU/partB,,bert,bert-base-uncased,smoke,3e-05,,,,,,,,109601435,109601435,5.022,,0.0,,,0.0,0.0,0.0,0.0,results/20260625_144101_smoke_seed1/bert/best.pt,,subtoken labels use -100 for non-first subtokens/special/pad; pooling=cls; ignored_labels_in_smoke_batch=35,,,,,,,,,,,0.0,2,1,1.0,1.0
NLU/partB,NLU/partB/results/results_partB.csv,NLU/partB,,gpt2,openai-community/gpt2,smoke,3e-05,,,,,,,,124559003,124559003,6.793,,0.0,,,0.0,0.0,0.0,0.0,results/20260625_144101_smoke_seed1/gpt2/best.pt,,subtoken labels use -100 for non-first subtokens/special/pad; pooling=last; ignored_labels_in_smoke_batch=35,,,,,,,,,,,0.0,2,1,1.0,1.0
NLU/partB,NLU/partB/results/results_partB.csv,NLU/partB,,bert,bert-base-uncased,smoke,3e-05,,,,,,,,109601435,109601435,0.0,,0.0,,,0.0,0.0,0.0,0.0,results/20260625_144101_smoke_seed1/bert/best.pt,,subtoken labels use -100 for non-first subtokens/special/pad; pooling=cls; ignored_labels_in_smoke_batch=35,,,,,,,,,,,0.0,2,1,1.0,1.0
NLU/partB,NLU/partB/results/results_partB.csv,NLU/partB,,gpt2,openai-community/gpt2,smoke,3e-05,,,,,,,,124559003,124559003,0.0,,0.0,,,0.0,0.0,0.0,0.0,results/20260625_144101_smoke_seed1/gpt2/best.pt,,subtoken labels use -100 for non-first subtokens/special/pad; pooling=last; ignored_labels_in_smoke_batch=35,,,,,,,,,,,0.0,2,1,1.0,1.0
NLU/partB,NLU/partB/results/results_partB.csv,NLU/partB,,bert,bert-base-uncased,smoke,3e-05,,,,,,,,109601435,109601435,6.689,,0.0,,,0.0,0.0,0.0,0.0,results/20260625_145930_smoke_seed1/bert/best.pt,,subtoken labels use -100 for non-first subtokens/special/pad; pooling=cls; ignored_labels_in_smoke_batch=35,,,,,,,,,,,0.0,2,1,1.0,1.0
NLU/partB,NLU/partB/results/results_partB.csv,NLU/partB,,gpt2,openai-community/gpt2,smoke,3e-05,,,,,,,,124559003,124559003,5.95,,0.0,,,0.0,0.0,0.0,0.0,results/20260625_145930_smoke_seed1/gpt2/best.pt,,subtoken labels use -100 for non-first subtokens/special/pad; pooling=last; ignored_labels_in_smoke_batch=35,,,,,,,,,,,0.0,2,1,1.0,1.0
